Tanggal,Tn,Tx,Tavg,RH_avg,RR,ddd_x,ff_avg
13-02-2023,23.1,30.3,26.4,80,33.5,250,2
14-02-2023,23.2,30,25.8,84,43.5,260,4
15-02-2023,23,28.8,25.3,87,40.8,270,2
16-02-2023,23.2,30.4,25.5,87,16.6,270,2
17-02-2023,22.8,30.2,25.3,88,22.8,330,2
18-02-2023,23.8,30.4,26.4,85,3.8,250,3
19-02-2023,23.4,31.2,26.7,82,0,250,4
20-02-2023,23.8,30.6,26.2,82,0.3,270,3
21-02-2023,22.4,31.8,26.9,77,2,240,2
22-02-2023,24.2,30.6,25.6,89,1.5,210,1
23-02-2023,24.2,30.4,26.3,86,11.1,160,2
24-02-2023,24.3,31,26.4,88,9.6,240,1
25-02-2023,23.1,31.3,26.1,85,4.9,270,2
26-02-2023,24,30.6,26,90,4,250,2
27-02-2023,22.9,29,25.8,88,32.9,320,2
28-02-2023,23.2,31.5,25.3,87,0,240,2
01-03-2023,23,28.4,25.7,86,6.6,270,3
02-03-2023,23.2,27.6,24.5,92,39.3,240,1
03-03-2023,23.2,31,26.7,78,12.4,280,2
04-03-2023,23,30.1,25.9,86,4,250,3
05-03-2023,23.1,30.8,26.4,83,0,270,2
06-03-2023,23.2,30.4,26.7,80,1.1,250,3
07-03-2023,22.6,30.8,26.6,84,0,210,3
08-03-2023,23,31,26.9,80,0,260,2
09-03-2023,24,31.4,26.4,78,0,260,2
10-03-2023,23.2,31.8,26.9,80,3.4,260,1
11-03-2023,23,31.8,27.3,82,0,260,2
12-03-2023,22.8,31.6,26.6,82,0,200,2
13-03-2023,22.8,31.6,26.8,78,0,250,2
14-03-2023,22.6,31.8,26.6,78,3,210,2
15-03-2023,22.6,32.6,26.7,80,0,100,2
16-03-2023,24.2,32.6,27.8,81,0,150,1
17-03-2023,24.9,32,26.4,85,0,40,2
18-03-2023,21.2,32,25.6,86,76,210,2
19-03-2023,23.8,31.8,26,86,8888,350,2
20-03-2023,23.7,31,25.9,87,6.3,210,2
21-03-2023,22.6,32.1,27,83,8,110,2
22-03-2023,24.4,32.8,26.8,85,0,130,1
23-03-2023,24.2,32.3,27,83,1.1,290,1
24-03-2023,24,31.8,26.3,85,0,240,1
25-03-2023,23.4,31.8,25.8,86,0,240,2
26-03-2023,22.8,31.1,25.4,88,51.9,340,2
